iter	Passed	Remaining
0	1	784
1	3	787
2	4	764
3	5	735
4	7	752
5	9	742
6	10	721
7	11	710
8	12	695
9	13	680
10	15	670
11	16	661
12	17	653
13	18	643
14	19	636
15	20	631
16	22	626
17	23	622
18	24	618
19	25	623
20	27	617
21	28	613
22	29	609
23	30	605
24	31	602
25	32	598
26	33	594
27	35	590
28	36	587
29	37	583
30	38	581
31	39	578
32	40	576
33	42	581
34	43	577
35	44	575
36	45	572
37	46	569
38	47	565
39	48	562
40	50	561
41	51	559
42	52	555
43	53	553
44	54	551
45	55	549
46	56	547
47	58	549
48	59	548
49	60	546
50	61	543
51	62	541
52	64	540
53	65	540
54	66	540
55	67	539
56	69	536
57	70	535
58	71	532
59	72	530
60	73	529
61	74	528
62	76	532
63	78	532
64	79	533
65	81	532
66	82	532
67	83	532
68	85	532
69	86	533
70	88	533
71	89	533
72	91	533
73	92	533
74	93	532
75	95	532
76	96	532
77	98	531
78	99	530
79	101	530
80	102	528
81	103	528
82	105	527
83	106	527
84	108	527
85	109	527
86	110	526
87	112	525
88	113	524
89	114	523
90	116	522
91	117	521
92	119	521
93	120	520
94	121	519
95	123	519
96	124	518
97	126	518
98	127	517
99	129	516
100	130	516
101	132	515
102	133	515
103	135	514
104	136	513
105	138	513
106	139	512
107	141	512
108	142	511
109	143	510
110	145	509
111	146	508
112	148	507
113	149	506
114	150	505
115	152	504
116	153	503
117	155	502
118	156	501
119	157	500
120	159	499
121	160	498
122	162	497
123	163	496
124	165	495
125	166	494
126	168	493
127	169	492
128	170	491
129	172	490
130	173	488
131	174	487
132	176	486
133	177	485
134	179	484
135	180	483
136	182	482
137	183	481
138	184	480
139	186	479
140	187	478
141	189	477
142	190	476
143	192	475
144	193	473
145	194	472
146	196	471
147	197	470
148	199	469
149	200	467
150	202	466
151	203	465
152	204	464
153	206	463
154	207	462
155	209	460
156	210	459
157	211	458
158	213	457
159	214	455
160	215	454
161	217	453
162	218	451
163	219	450
164	221	449
165	222	448
166	224	446
167	225	445
168	226	444
169	228	443
170	229	441
171	230	440
172	232	439
173	233	437
174	234	436
175	236	434
176	237	433
177	239	432
178	240	430
179	241	429
180	243	428
181	244	427
182	246	426
183	247	425
184	249	424
185	250	422
186	251	421
187	253	420
188	254	419
189	256	417
190	257	416
191	258	415
192	260	413
193	261	412
194	262	411
195	264	410
196	265	408
197	267	407
198	268	406
199	269	404
200	271	403
201	272	402
202	274	400
203	275	399
204	276	398
205	278	397
206	279	395
207	280	394
208	282	393
209	283	391
210	285	390
211	286	389
212	287	387
213	289	386
214	290	385
215	291	383
216	293	382
217	294	381
218	295	379
219	297	378
220	298	377
221	300	375
222	301	374
223	302	373
224	304	371
225	305	370
226	306	368
227	308	367
228	309	366
229	311	365
230	312	363
231	313	362
232	315	361
233	316	359
234	318	358
235	319	357
236	321	356
237	322	355
238	324	354
239	325	352
240	326	351
241	328	349
242	329	348
243	331	347
244	332	345
245	333	344
246	335	343
247	336	341
248	337	340
249	339	339
250	340	337
251	341	336
252	343	335
253	344	333
254	345	332
255	347	330
256	348	329
257	350	328
258	351	327
259	352	325
260	354	324
261	355	323
262	356	321
263	358	320
264	359	318
265	360	317
266	362	316
267	363	314
268	364	313
269	366	311
270	367	310
271	369	309
272	370	308
273	371	306
274	373	305
275	374	304
276	376	302
277	377	301
278	378	299
279	379	298
280	381	297
281	382	295
282	384	294
283	385	293
284	386	291
285	388	290
286	389	288
287	390	287
288	392	286
289	393	285
290	395	283
291	396	282
292	398	281
293	399	279
294	400	278
295	402	277
296	403	275
297	405	274
298	406	273
299	407	271
300	409	270
301	410	269
302	411	267
303	413	266
304	414	265
305	415	263
306	417	262
307	418	261
308	420	259
309	421	258
310	422	257
311	424	255
312	425	254
313	426	252
314	428	251
315	429	250
316	431	248
317	432	247
318	434	246
319	435	244
320	436	243
321	438	242
322	439	240
323	441	239
324	442	238
325	444	237
326	445	235
327	446	234
328	448	233
329	449	231
330	451	230
331	452	229
332	453	227
333	455	226
334	456	225
335	458	223
336	459	222
337	460	220
338	462	219
339	463	218
340	465	217
341	466	215
342	468	214
343	469	212
344	471	211
345	472	210
346	473	208
347	475	207
348	476	206
349	478	204
350	479	203
351	480	202
352	482	200
353	483	199
354	485	198
355	486	196
356	488	195
357	489	194
358	490	192
359	492	191
360	493	190
361	495	188
362	496	187
363	497	186
364	499	184
365	500	183
366	502	181
367	503	180
368	504	179
369	506	177
370	507	176
371	508	175
372	510	173
373	511	172
374	512	170
375	514	169
376	515	168
377	516	166
378	518	165
379	519	164
380	520	162
381	522	161
382	523	160
383	525	158
384	526	157
385	527	155
386	529	154
387	530	153
388	532	151
389	533	150
390	534	149
391	536	147
392	537	146
393	538	144
394	540	143
395	541	142
396	542	140
397	545	139
398	554	140
399	556	139
400	558	137
401	559	136
402	560	134
403	563	133
404	565	132
405	577	133
406	599	136
407	601	135
408	602	134
409	604	132
410	605	131
411	608	129
412	614	129
413	616	128
414	618	126
415	619	125
416	620	123
417	622	122
418	623	120
419	625	119
420	626	117
421	627	116
422	629	114
423	630	113
424	632	111
425	633	110
426	635	108
427	636	107
428	637	105
429	639	104
430	640	102
431	641	101
432	643	99
433	644	98
434	646	96
435	647	95
436	649	93
437	650	92
438	652	90
439	653	89
440	654	87
441	656	86
442	657	84
443	658	83
444	660	81
445	661	80
446	663	78
447	664	77
448	666	75
449	667	74
450	669	72
451	670	71
452	672	69
453	673	68
454	674	66
455	676	65
456	677	63
457	679	62
458	680	60
459	682	59
460	683	57
461	685	56
462	686	54
463	688	53
464	689	51
465	691	50
466	692	48
467	693	47
468	695	45
469	696	44
470	698	42
471	699	41
472	701	40
473	702	38
474	703	37
475	705	35
476	706	34
477	708	32
478	709	31
479	711	29
480	712	28
481	713	26
482	715	25
483	716	23
484	718	22
485	719	20
486	720	19
487	722	17
488	723	16
489	724	14
490	726	13
491	727	11
492	729	10
493	730	8
494	731	7
495	733	5
496	734	4
497	736	2
498	737	1
499	738	0
